identifier,data_type,num_files,num_bytes,dandiset_schemaver,url,nwb_version,validation_summary,max_file_size,min_file_size
DANDI:000218,Neurodata Without Borders (NWB),98,1512863479850,0.6.2,https://dandiarchive.org/dandiset/000218/draft,2.4.0,"CRITICAL,BEST_PRACTICE_VIOLATION",108437238659.0,481901319.0
DANDI:000219,Neurodata Without Borders (NWB),62,73147035938,0.6.2,https://dandiarchive.org/dandiset/000219/draft,2.3.0,"CRITICAL,BEST_PRACTICE_VIOLATION",2564488288.0,787782709.0
DANDI:000220,Neurodata Without Borders (NWB),34,1202846808,0.6.2,https://dandiarchive.org/dandiset/000220/draft,2.4.0,,116555656.0,9027928.0
DANDI:000221,Neurodata Without Borders (NWB),263,4422550232,0.6.2,https://dandiarchive.org/dandiset/000221/draft,2.4.0,BEST_PRACTICE_VIOLATION,72232176.0,407104.0
DANDI:000222,,0,0,0.6.2,https://dandiarchive.org/dandiset/000222/draft,,,,
DANDI:000223,Neurodata Without Borders (NWB),20,84273722669,0.6.2,https://dandiarchive.org/dandiset/000223/draft,,,5774660078.0,2766084067.0
DANDI:000225,,0,0,0.6.2,https://dandiarchive.org/dandiset/000225/draft,,,,
DANDI:000226,Neurodata Without Borders (NWB),60,13745152235,0.6.2,https://dandiarchive.org/dandiset/000226/draft,2.4.0,,725983383.0,19029038.0
DANDI:000227,,0,0,0.6.2,https://dandiarchive.org/dandiset/000227/draft,,,,
DANDI:000228,Neurodata Without Borders (NWB),91,5816158527,0.6.2,https://dandiarchive.org/dandiset/000228/draft,2.2.5,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",160528797.0,23994870.0
DANDI:000229,,0,0,0.6.2,https://dandiarchive.org/dandiset/000229/draft,,,,
DANDI:000230,Neurodata Without Borders (NWB),9,244968456,0.6.2,https://dandiarchive.org/dandiset/000230/draft,2.4.0,,38361656.0,24275752.0
DANDI:000231,Neurodata Without Borders (NWB),4228,1996516623953,0.6.2,https://dandiarchive.org/dandiset/000231/draft,2.4.0,"CRITICAL,BEST_PRACTICE_VIOLATION",17751212032.0,378693769.0
DANDI:000232,Neurodata Without Borders (NWB),86,36639903614,0.6.2,https://dandiarchive.org/dandiset/000232/draft,2.4.0,,662307781.0,280028225.0
DANDI:000233,Neurodata Without Borders (NWB),345,12320920243380,0.6.2,https://dandiarchive.org/dandiset/000233/draft,2.4.0,,359533044526.0,5213437.0
DANDI:000239,Neurodata Without Borders (NWB),754,11769901909,0.6.2,https://dandiarchive.org/dandiset/000239/draft,2.4.0,,109677407.0,253592.0
DANDI:000241,,0,0,0.6.2,https://dandiarchive.org/dandiset/000241/draft,,,,
DANDI:000243,Brain Imaging Data Structure (BIDS),5,6079714780,0.6.3,https://dandiarchive.org/dandiset/000243/draft,,,,
DANDI:000244,Neurodata Without Borders (NWB),33,1068310244612,0.6.3,https://dandiarchive.org/dandiset/000244/draft,,,78440166832.0,24237730504.0
DANDI:000245,Neurodata Without Borders (NWB),25,408910387,0.6.3,https://dandiarchive.org/dandiset/000245/draft,2.4.0,,27516861.0,5456578.0
DANDI:000246,Neurodata Without Borders (NWB),2,34485962600,0.6.3,https://dandiarchive.org/dandiset/000246/draft,,,17603691874.0,16882270726.0
DANDI:000249,Neurodata Without Borders (NWB),777,97968237237,0.6.3,https://dandiarchive.org/dandiset/000249/draft,2.4.0,CRITICAL,475750140.0,22882468.0
DANDI:000251,Neurodata Without Borders (NWB),513,2175642248,0.6.3,https://dandiarchive.org/dandiset/000251/draft,2.4.0,"ERROR,BEST_PRACTICE_VIOLATION",16200632.0,845944.0
DANDI:000252,,0,0,0.6.3,https://dandiarchive.org/dandiset/000252/draft,,,,
DANDI:000255,,0,0,0.6.3,https://dandiarchive.org/dandiset/000255/draft,,,,
DANDI:000288,Neurodata Without Borders (NWB),36,1049737334,0.6.3,https://dandiarchive.org/dandiset/000288/draft,2.3.0,PYNWB_VALIDATION,88257434.0,13180927.0
DANDI:000290,,0,0,0.6.3,https://dandiarchive.org/dandiset/000290/draft,,,,
DANDI:000292,Neurodata Without Borders (NWB),11,13764872,0.6.3,https://dandiarchive.org/dandiset/000292/draft,2.3.0,,2499671.0,914712.0
DANDI:000293,Neurodata Without Borders (NWB),121,234976142,0.6.3,https://dandiarchive.org/dandiset/000293/draft,2.3.0,,5563602.0,715794.0
DANDI:000294,Neurodata Without Borders (NWB),2,18173614543,0.6.3,https://dandiarchive.org/dandiset/000294/draft,,,10126043978.0,8047570565.0
DANDI:000295,Neurodata Without Borders (NWB),26,476091831,0.6.3,https://dandiarchive.org/dandiset/000295/draft,2.5.0,,33783463.0,9073434.0
DANDI:000296,,0,0,0.6.3,https://dandiarchive.org/dandiset/000296/draft,,,,
